Question,Answer
How do JavaScript closures work?,"A closure in JavaScript is created when a function remembers and retains access to variables from its outer scope even after the outer function has finished executing. Closures are commonly used for data encapsulation, callbacks, event handlers, and implementing private variables. They allow functions to maintain state between function calls."
How to modify existing, unpushed commit messages?,"You can modify the most recent unpushed commit message by using the command 'git commit --amend'. This opens your default text editor, allowing you to edit the commit message. If you need to modify older commits that have not been pushed, use 'git rebase -i' and choose the 'reword' option."
How do I redirect to another webpage?,"In JavaScript, you can redirect users to another webpage using 'window.location.href = \"https://example.com\"'. You can also use 'window.location.replace()' if you do not want users to navigate back to the previous page using the browser's back button."
What are metaclasses in Python?,"A metaclass in Python is a class whose instances are themselves classes. Metaclasses control how classes are created and customized. They are commonly used in advanced frameworks to automatically modify class behavior, enforce coding standards, or register classes during creation."
How to execute a program or call a system command from Python?,"Python provides the 'subprocess' module for executing system commands and external programs. The recommended approach is to use 'subprocess.run()' because it offers better security and flexibility than older methods such as 'os.system()'. It also allows you to capture output, handle errors, and pass command-line arguments safely."
How can I get the source directory of a Bash script from within the script itself?,"You can determine the directory containing the currently executing Bash script by using the 'BASH_SOURCE' variable along with shell commands such as 'dirname' and 'pwd'. This approach works even if the script is executed from a different working directory and is commonly used to locate configuration files and resources."
Move the most recent commit(s) to a new branch with Git,"If you accidentally commit changes to the wrong branch, create a new branch using 'git branch new-branch-name'. Then switch to the new branch and use 'git reset' on the original branch to remove the commits. This preserves your work while moving the commits to the correct branch."
The definitive guide to form-based website authentication,"Form-based authentication is a method where users submit credentials through a login form. Passwords should always be hashed using strong algorithms such as bcrypt or Argon2 before storage. Secure authentication also requires HTTPS, session management, protection against SQL injection and cross-site scripting, and measures to prevent brute-force attacks."
How do I merge two dictionaries in a single expression (taking union of dictionaries)?,"In modern Python, dictionaries can be merged using the '|' operator introduced in Python 3.9. Earlier versions can use dictionary unpacking with '**' or the 'update()' method. When duplicate keys exist, values from the later dictionary overwrite those from the earlier dictionary."
How do I include a JavaScript file in another JavaScript file?,"JavaScript files can be included in HTML using the '<script>' tag. In modern JavaScript applications, modules can be imported using the 'import' statement together with the 'export' keyword. The appropriate method depends on whether you are using traditional scripts or ES modules."
How to disable text selection highlighting?,"You can disable text selection by using the CSS property 'user-select: none'. For broader browser compatibility, vendor prefixes such as '-webkit-user-select' and '-moz-user-select' may also be used. This technique is often applied to buttons, icons, and draggable elements."
PUT vs. POST in REST,"In REST APIs, POST is used to create new resources or perform operations that may produce different results each time they are called. PUT is used to create or completely replace a resource at a specific URI and is idempotent, meaning multiple identical requests produce the same result. Choosing between them depends on the intended operation."
Which equals operator (== vs ===) should be used in JavaScript comparisons?,"The '===' operator performs strict equality by comparing both value and data type without type conversion. The '==' operator performs loose equality and automatically converts values when comparing different data types. In most situations, developers prefer '===' because it produces more predictable and reliable results."
How do I find all files containing specific text on Linux?,"You can search for text in files using the 'grep' command. For example, 'grep -r \"text\" /path/to/directory' recursively searches all files within a directory. Additional options such as '-i' for case-insensitive searches and '-n' for line numbers can make searches more useful."
How do I check whether a file exists without exceptions?,"In Python, you can check whether a file exists by using 'os.path.exists()' or the 'Path.exists()' method from the 'pathlib' module. These methods return True if the file exists and False otherwise, avoiding the need to catch exceptions for simple existence checks."
What is the difference between “px”, “dip”, “dp” and “sp”?,"In Android development, 'px' represents physical pixels, while 'dp' (or 'dip') represents density-independent pixels used for consistent layouts across different screen densities. The 'sp' unit is similar to 'dp' but also scales according to the user's font size preferences, making it the recommended unit for text."
How do I return the response from an asynchronous call?,"Asynchronous operations do not return results immediately because they complete at a later time. Instead of returning values directly, use callbacks, Promises, or the modern 'async' and 'await' syntax to handle results after the operation has finished. This is the standard approach for AJAX requests and other asynchronous tasks."
How to make Git “forget” about a file that was tracked but is now in .gitignore?,"Adding a file to '.gitignore' does not stop Git from tracking it if it was already committed. To remove it from version control while keeping it on your computer, use 'git rm --cached <file>' and commit the change. Git will then ignore future modifications to that file."
What is the most efficient way to deep clone an object in JavaScript?,"A deep clone creates a completely independent copy of an object, including all nested objects and arrays. Modern JavaScript provides the 'structuredClone()' function for deep cloning many data types. Other approaches include using utility libraries such as Lodash or manually implementing recursive cloning when needed."
Reference — What does this symbol mean in PHP?,"PHP uses many symbols with specific meanings, including operators for assignment, comparison, references, arrays, and object access. For example, '->' accesses object properties and methods, '=>' associates keys with values in arrays, and '&' is used for references. Understanding these symbols is essential for reading and writing PHP code effectively."
How do I check whether a checkbox is checked in jQuery?,"You can determine whether a checkbox is checked by using the '.is(\":checked\")' method in jQuery. This method returns true if the checkbox is selected and false otherwise. It is commonly used for validating forms and responding to user interactions."
How to replace all occurrences of a string in JavaScript?,"You can replace all occurrences of a string by using the 'replaceAll()' method available in modern JavaScript. Alternatively, use the 'replace()' method with a global regular expression such as '/text/g'. The appropriate approach depends on browser compatibility requirements."
How to validate an email address in JavaScript?,"Email addresses can be validated using regular expressions or the built-in HTML email input type. For most applications, a simple regular expression is sufficient to detect common formatting errors. However, complete email validation should also be performed on the server because client-side validation alone is not reliable."
How do I push a new local branch to a remote Git repository and track it too?,"To push a new local Git branch and automatically track the remote branch, use the command 'git push -u origin branch-name'. The '-u' option sets the upstream branch, allowing future pushes and pulls to be performed without specifying the remote and branch name."
How to pass “Null” (a real surname!) to a SOAP web service in ActionScript 3?,"When sending a surname such as 'Null' through a SOAP web service, ensure it is transmitted as a normal string rather than a null value. Properly serialize the value, verify the generated SOAP request, and confirm that both the client and server correctly distinguish between the string 'Null' and the absence of a value."What is the difference between “INNER JOIN” and “OUTER JOIN”?,"Tags: ['sql', 'database', 'join', 'inner-join', 'outer-join']. Asked by Chris de Vries on 2008-09-01 22:36:06. Votes: 4843, Views: Viewed 2,401,225 times."
How can I reset or revert a file to a specific revision?,"You can restore a file to a specific revision in Git by using the 'git checkout <commit> -- <file>' command or the modern equivalent 'git restore --source=<commit> <file>'. This replaces the current version of the file with the version from the specified commit while leaving the rest of the repository unchanged. Commit the changes afterward if you want to preserve the restored version."
For-each over an array in JavaScript,"JavaScript provides several ways to iterate over arrays. The 'forEach()' method executes a callback function once for each element and is commonly used for simple iteration. You can also use 'for...of' loops, traditional 'for' loops, or array methods such as 'map()' and 'filter()' depending on your requirements."
What is the maximum length of a URL in different browsers?,"There is no universal maximum URL length defined by the HTTP specification. Different browsers and web servers support different limits. Modern browsers generally support URLs with thousands of characters, but keeping URLs under approximately 2,000 characters ensures the best compatibility across browsers, servers, and search engines."
How to resolve merge conflicts in Git repository?,"Merge conflicts occur when Git cannot automatically combine changes from different branches. To resolve them, open the conflicting files, manually edit the conflicting sections, remove the conflict markers, and save the changes. After resolving all conflicts, stage the files using 'git add' and complete the merge with 'git commit'."
What's the difference between using “let” and “var”?,"The 'var' keyword declares variables with function scope and allows redeclaration, while 'let' declares variables with block scope and does not allow redeclaration within the same scope. Variables declared with 'let' are also not accessible before their declaration because of the temporal dead zone. In modern JavaScript, 'let' is generally preferred over 'var'."
How do I discard unstaged changes in Git?,"To discard unstaged changes in Git, use 'git restore <file>' to restore a specific file to its last committed state. To discard changes in all modified files, use 'git restore .'. In older versions of Git, the equivalent command is 'git checkout -- <file>'. Be careful because discarded changes cannot be recovered."
What is a plain English explanation of “Big O” notation?,"Big O notation describes how the time or memory required by an algorithm grows as the input size increases. It measures the algorithm's efficiency rather than its exact execution time. For example, O(1) represents constant time, O(log n) represents logarithmic growth, O(n) represents linear growth, and O(n²) represents quadratic growth."
Reset local repository branch to be just like remote repository HEAD,"To make your local branch identical to the remote branch, first run 'git fetch origin' to retrieve the latest changes. Then execute 'git reset --hard origin/branch-name'. This resets your local branch to match the remote repository exactly and permanently removes any uncommitted local changes."
How can I safely create a nested directory?,"In Python, you can safely create nested directories using 'os.makedirs(path, exist_ok=True)' or 'Path(path).mkdir(parents=True, exist_ok=True)' from the pathlib module. These methods automatically create any missing parent directories and avoid raising an error if the directory already exists."
Setting “checked” for a checkbox with jQuery,"You can check or uncheck a checkbox in jQuery using the '.prop()' method. For example, '.prop(\"checked\", true)' checks the checkbox, while '.prop(\"checked\", false)' unchecks it. The '.prop()' method is the recommended approach because it modifies the actual property rather than just the HTML attribute."
How do I read / convert an InputStream into a String in Java?,"You can convert an InputStream into a String by reading all bytes from the stream and decoding them using a character encoding such as UTF-8. Modern Java provides convenient methods such as 'new String(inputStream.readAllBytes(), StandardCharsets.UTF_8)'. Older versions typically use BufferedReader or Scanner to read the stream."
How do I check if an array includes a value in JavaScript?,"Modern JavaScript provides the 'includes()' method to determine whether an array contains a specific value. It returns true if the value exists and false otherwise. Older JavaScript versions commonly use the 'indexOf()' method, which returns the index of the element or -1 if it is not found."
How to clone all remote branches in Git?,"When you clone a Git repository, references to all remote branches are downloaded automatically. To work on a specific remote branch locally, create a tracking branch using 'git checkout --track origin/branch-name' or 'git switch --track origin/branch-name'. This creates a local branch linked to the corresponding remote branch."
The Definitive C++ Book Guide and List,"There is no single definitive C++ book because the best choice depends on your experience level. Beginners often start with books that teach modern C++ fundamentals, while experienced developers prefer advanced references covering language features, design patterns, and performance optimization. Selecting books that focus on modern C++ standards is generally recommended."
How to change the URI (URL) for a remote Git repository?,"You can change the URL of a Git remote repository using the command 'git remote set-url origin <new-url>'. After updating the URL, verify the configuration with 'git remote -v'. This is useful when moving a repository to a different hosting service or changing between HTTPS and SSH."
How can I determine the URL that a local Git repository was originally cloned from?,"You can view the remote repository URLs configured for a local Git repository by running 'git remote -v'. To display the complete configuration, including fetch and push URLs, use 'git remote show origin'. These commands help identify the repository from which the project was cloned."
What is the difference between a URI, a URL and a URN?,"A URI (Uniform Resource Identifier) is a general identifier for a resource. A URL (Uniform Resource Locator) is a type of URI that specifies both the resource and its location. A URN (Uniform Resource Name) is another type of URI that identifies a resource by name without specifying where it is located."
How to create a GUID / UUID,"A GUID or UUID is a globally unique identifier used to uniquely identify objects, records, or resources. Most programming languages provide built-in libraries for generating UUIDs. In modern JavaScript, you can generate a UUID using 'crypto.randomUUID()', while other languages offer similar standard library functions."
How can I add an empty directory to a Git repository?,"Git does not track empty directories because it only tracks files. A common practice is to place a placeholder file such as '.gitkeep' or '.gitignore' inside the empty directory and commit that file. This allows the directory structure to be preserved in the repository."
How to horizontally center an element,"In modern CSS, the easiest way to horizontally center an element is by using Flexbox. Set the parent container to 'display: flex' and use 'justify-content: center'. Other methods include using CSS Grid or applying 'margin: 0 auto' to block-level elements with a specified width."
Regular expression to match a line that doesn't contain a word,"To match lines that do not contain a specific word, regular expressions commonly use negative lookahead assertions. A pattern such as '^(?!.*word).*$' matches lines where the specified word does not appear anywhere. The exact syntax may vary depending on the regular expression engine being used."
How can I pair socks from a pile efficiently?,"An efficient approach is to sort the socks by color or type before pairing them, reducing the number of comparisons required. If sorting is not possible, using a hash table or dictionary to count occurrences provides an O(n) solution. This problem is often used to illustrate algorithmic thinking and complexity analysis."
Accessing the index in 'for' loops?,"In Python, the recommended way to access both the index and the value while iterating over a list is to use the 'enumerate()' function. It returns pairs containing the index and the corresponding element, making the code cleaner and easier to read than manually maintaining a counter."
Squash my last X commits together using Git,"You can combine multiple recent commits into a single commit by using interactive rebase with 'git rebase -i HEAD~X', where X is the number of commits. Mark the first commit as 'pick' and the remaining commits as 'squash' or 'fixup'. After saving the rebase instructions, Git combines the commits into one."
How do you close/hide the Android soft keyboard using Java?,"You can hide the Android soft keyboard by using the InputMethodManager class. Obtain an instance of InputMethodManager and call 'hideSoftInputFromWindow()' with the current window token. This is commonly done after the user finishes entering text or submits a form."
How to enumerate an enum,"In C#, you can iterate through all values of an enumeration by using 'Enum.GetValues()'. This method returns an array containing every defined enum value, allowing you to loop through them using a foreach loop. It is the standard approach for displaying or processing all enumeration values."
What exactly is RESTful programming?,"RESTful programming is an architectural style for designing web services that communicate over HTTP. REST APIs use standard HTTP methods such as GET, POST, PUT, and DELETE to manipulate resources identified by URLs. REST emphasizes stateless communication, scalability, and a consistent interface between clients and servers."
How do I make the first letter of a string uppercase in JavaScript?,"You can capitalize the first letter of a string by combining 'charAt(0).toUpperCase()' with 'slice(1)'. This converts only the first character to uppercase while preserving the remainder of the string. It is a simple and widely used approach for formatting text."
How do I exit the Vim editor?,"To exit Vim, press the Escape key to enter Normal mode. Type ':q' to quit if no changes have been made, ':q!' to quit without saving changes, or ':wq' to save the file and then exit. These are the most commonly used Vim exit commands."
Why does Google prepend while(1); to their JSON responses?,"Some web applications prepend 'while(1);' to JSON responses as a security measure against JSON hijacking attacks. This makes the response invalid JavaScript when executed directly, preventing malicious websites from reading sensitive JSON data through script tags. Clients remove the prefix before parsing the JSON response."How do I update a GitHub forked repository?,"Tags: ['git', 'github', 'updates', 'pull-request', 'git-fork']. Asked by Lea Hayes on 2011-08-30 13:53:00. Votes: 4092, Views: Viewed 893,027 times."
Change a HTML5 input's placeholder color with CSS,"You can change the color of placeholder text using the CSS '::placeholder' pseudo-element. For better browser compatibility, vendor-prefixed selectors such as '::-webkit-input-placeholder' and '::-moz-placeholder' may also be required. This allows you to customize the appearance of placeholder text without affecting the input's actual value."
Avoiding NullPointerException in Java,"A NullPointerException occurs when you attempt to access a method or field of an object reference that is null. To avoid it, initialize objects before use, perform null checks, use Objects.requireNonNull() when appropriate, and consider using Optional for values that may be absent. Writing defensive code helps reduce the risk of null-related errors."
Which “href” value should I use for JavaScript links, “#” or “javascript:void(0)”?,"Neither '#' nor 'javascript:void(0)' is considered the best practice for actions that do not perform navigation. Instead, use a '<button>' element for actions triggered by JavaScript, as it is more accessible and semantically correct. If an anchor tag must be used, prevent its default behavior using JavaScript."
Undo a Git merge that hasn't been pushed yet,"If the merge has not been pushed, you can undo it using 'git merge --abort' while the merge is still in progress. If the merge has already been committed, use 'git reset --hard HEAD~1' to remove the merge commit. Be cautious because resetting may permanently discard uncommitted changes."
How do you get a timestamp in JavaScript?,"You can obtain the current Unix timestamp in milliseconds using 'Date.now()' or 'new Date().getTime()'. To get the timestamp in seconds, divide the millisecond value by 1000 and round or truncate the result. These timestamps are commonly used for logging, caching, and measuring execution time."
How to make a flat list out of list of lists?,"In Python, you can flatten a list of lists using a list comprehension, the itertools.chain() function, or the built-in list methods. For example, a nested list can be converted into a single list by iterating through each sublist and each item within it. This produces a one-dimensional list containing all elements."
How do I generate random integers within a specific range in Java?,"Java provides several ways to generate random integers. The Random class offers the 'nextInt()' method, while the modern ThreadLocalRandom and SecureRandom classes provide additional functionality. For example, 'ThreadLocalRandom.current().nextInt(min, max + 1)' generates a random integer within a specified range."
Why don't Java's +=, -=, *=, /= compound assignment operators require casting?,"Compound assignment operators in Java automatically perform an implicit cast to the type of the left-hand operand after evaluating the expression. This allows statements such as 'shortValue += 1' to compile without an explicit cast, whereas 'shortValue = shortValue + 1' requires manual casting because the arithmetic expression is promoted to an int."
Make an existing Git branch track a remote branch?,"To make an existing local branch track a remote branch, use 'git branch --set-upstream-to=origin/branch-name'. Alternatively, when pushing a branch for the first time, use 'git push -u origin branch-name' to automatically configure the upstream tracking relationship."
Proper use cases for Android UserManager.isUserAGoat()?,"The 'UserManager.isUserAGoat()' method is an internal Android API that was originally introduced as an Easter egg and has little or no practical use in application development. For most Android applications, this method always returns false and should not be relied upon for production code."
How do I remove a submodule?,"To remove a Git submodule, delete its entry from the '.gitmodules' file, remove its configuration from '.git/config', run 'git rm' on the submodule directory, and delete any remaining metadata from the '.git/modules' directory if necessary. Finally, commit the changes to complete the removal."
Understanding slice notation,"Slice notation in Python allows you to extract a portion of a sequence such as a list, tuple, or string. The general syntax is 'sequence[start:stop:step]', where the start index is inclusive, the stop index is exclusive, and the step determines how elements are selected. Slicing is a concise and efficient way to work with sequences."
Create ArrayList from array,"You can create an ArrayList from an array using 'Arrays.asList()' and passing the result to the ArrayList constructor. For example, 'new ArrayList<>(Arrays.asList(array))' creates a mutable ArrayList containing all elements from the array. This is a common way to convert arrays into Java collections."
What's the difference between tilde(~) and caret(^) in package.json?,"In package.json, the tilde ('~') allows updates only to the patch version while keeping the major and minor versions fixed. The caret ('^') allows updates to both minor and patch versions while keeping the major version unchanged. Using the caret generally provides more flexibility while maintaining compatibility according to semantic versioning."
What are the differences between a HashMap and a Hashtable in Java?,"HashMap and Hashtable both store key-value pairs, but HashMap is not synchronized and allows one null key and multiple null values. Hashtable is synchronized, making it thread-safe, but it does not allow null keys or values. HashMap is generally preferred in modern Java applications because it offers better performance."
Difference between staticmethod and classmethod,"In Python, a static method does not receive either the class or the instance as its first argument and behaves like a regular function inside a class. A class method receives the class itself as the first argument through the 'cls' parameter, allowing it to access or modify class-level data. Static methods are used for utility functions, while class methods are often used as alternative constructors."
How is Docker different from a virtual machine?,"Docker containers share the host operating system's kernel, making them lightweight and fast to start. Virtual machines include a complete guest operating system, which requires more memory and storage. Containers are ideal for deploying applications efficiently, while virtual machines provide stronger isolation and support multiple operating systems on the same host."
How do I UPDATE from a SELECT in SQL Server?,"In SQL Server, you can update one table using data from another by combining the UPDATE statement with a JOIN or a subquery. This allows values returned by a SELECT query to be applied directly to matching rows in another table. Using joins is generally the preferred and more readable approach."
How to delete a remote tag?,"To delete a tag from a remote Git repository, use the command 'git push origin --delete tag tag_name'. Alternatively, older Git versions use 'git push origin :refs/tags/tag_name'. After deleting the remote tag, you may also delete the local tag using 'git tag -d tag_name' if it is no longer needed."
How can I check if a directory exists in a Bash shell script?,"In a Bash shell script, you can check whether a directory exists using the test expression '[ -d directory_path ]'. If the expression evaluates to true, the directory exists. This technique is commonly used in shell scripts before creating directories or accessing files."
How to remove local (untracked) files from the current Git working tree?,"You can remove all untracked files using 'git clean -f'. To also remove untracked directories, use 'git clean -fd'. Use 'git clean -n' first to preview which files will be deleted without actually removing them."
How do I check out a remote Git branch?,"To check out a remote branch, use 'git switch --track origin/branch-name' or 'git checkout -b branch-name origin/branch-name'. This creates a local branch that tracks the remote branch."
How do I update a GitHub forked repository?,"To update a forked repository, add the original repository as an upstream remote using 'git remote add upstream <url>', fetch updates using 'git fetch upstream', and merge them into your local branch with 'git merge upstream/main' or rebase if preferred."
What is the difference between INNER JOIN and OUTER JOIN?,"An INNER JOIN returns only rows that have matching values in both tables. An OUTER JOIN returns matching rows as well as non-matching rows from one or both tables, depending on whether it is a LEFT, RIGHT, or FULL OUTER JOIN."
What is Java?,"Java is a high-level, object-oriented programming language developed by Sun Microsystems. It is platform-independent because Java code is compiled into bytecode, which runs on the Java Virtual Machine (JVM). Java is widely used for web, desktop, enterprise, Android, and cloud applications."
Explain Java,"Java is an object-oriented programming language designed around the principle of 'Write Once, Run Anywhere'. Programs are compiled into bytecode and executed by the JVM, making them portable across different operating systems."
Tell me about Java,"Java is one of the most popular programming languages used for enterprise software, Android development, backend systems, cloud computing, and big data applications. It offers platform independence, strong memory management, security, and a rich standard library."
What is JVM?,"The Java Virtual Machine (JVM) is a virtual runtime environment that executes Java bytecode. It converts bytecode into machine code, manages memory using garbage collection, and provides platform independence."
What is JDK?,"The Java Development Kit (JDK) is a software package used for developing Java applications. It includes the JRE, compiler (javac), debugger, documentation tools, and other development utilities."
What is JRE?,"The Java Runtime Environment (JRE) provides everything needed to run Java applications, including the JVM and standard Java libraries. It does not include development tools such as the Java compiler."
Difference between JDK and JRE?,"JDK is used for developing Java applications and contains the compiler, debugger, JRE, and other tools. JRE is only used to run Java applications and contains the JVM and runtime libraries."
Difference between JVM and JRE?,"The JVM executes Java bytecode, while the JRE contains the JVM along with libraries and files required to run Java applications."
Difference between JVM and JDK?,"The JVM executes Java bytecode, while the JDK is a complete development kit that includes the JVM, JRE, compiler, debugger, and development tools."
What is bytecode?,"Bytecode is the intermediate code generated by the Java compiler after compiling Java source code. It is platform-independent and executed by the JVM."
What is OOP?,"Object-Oriented Programming (OOP) is a programming paradigm based on objects that contain data and methods. The four main principles are encapsulation, inheritance, polymorphism, and abstraction."
What is inheritance?,"Inheritance allows one class to acquire the properties and methods of another class. It promotes code reuse and supports hierarchical relationships between classes."
What is polymorphism?,"Polymorphism allows a single interface to represent multiple forms. In Java, it is achieved through method overloading (compile-time) and method overriding (runtime)."
What is encapsulation?,"Encapsulation is the practice of wrapping data and methods together inside a class while restricting direct access to internal data using access modifiers."
What is abstraction?,"Abstraction hides implementation details while exposing only essential functionality. It is achieved using abstract classes and interfaces."
What is constructor?,"A constructor is a special method that is automatically called when an object is created. It initializes the object's state."
Default constructor vs parameterized constructor?,"A default constructor takes no arguments and initializes objects with default values. A parameterized constructor accepts arguments to initialize objects with specific values."
What is method overloading?,"Method overloading allows multiple methods with the same name but different parameter lists within the same class. It is an example of compile-time polymorphism."
What is method overriding?,"Method overriding allows a subclass to provide its own implementation of a method already defined in its superclass. It enables runtime polymorphism."
Difference between overloading and overriding?,"Method overloading occurs within the same class and differs by parameter list. Method overriding occurs in subclasses where the method signature remains the same but the implementation changes."
What is an interface?,"An interface defines a contract that classes can implement. It specifies method declarations without implementations, allowing multiple classes to share common behavior."
Abstract class vs interface?,"An abstract class can contain both abstract and concrete methods and maintain state, whereas an interface primarily defines behavior contracts and supports multiple inheritance."
What is Collection Framework?,"The Java Collections Framework is a set of interfaces and classes that provide data structures such as List, Set, Queue, and Map, along with algorithms for manipulating collections."
Difference between ArrayList and LinkedList?,"ArrayList uses a dynamic array, making random access fast but insertions slower. LinkedList uses a doubly linked list, making insertions and deletions efficient but random access slower."
Difference between HashMap and TreeMap?,"HashMap stores key-value pairs without maintaining order and provides average O(1) lookup. TreeMap stores keys in sorted order using a Red-Black tree and provides O(log n) operations."
Difference between HashMap and LinkedHashMap?,"HashMap does not preserve insertion order, whereas LinkedHashMap maintains insertion order using a linked list."
What is Multithreading?,"Multithreading is the ability of a program to execute multiple threads concurrently, improving responsiveness and CPU utilization."
Runnable vs Thread?,"Thread is a class representing a thread of execution, while Runnable is an interface that separates the task from the thread. Implementing Runnable is generally preferred because it supports multiple inheritance."
What is Synchronization?,"Synchronization controls access to shared resources by multiple threads to prevent race conditions and ensure thread safety."
What is File Handling?,"File handling involves creating, reading, writing, updating, and deleting files using classes from the java.io and java.nio packages."
How do I write a file in Java?,"You can write to a file using FileWriter, BufferedWriter, PrintWriter, or the Files.write() method from the java.nio package."
